,correct_rate,response_time,set_size,response_type,cue_type,subject,exp_type
0,0,2.0686,L1,no-change,cue,1,exp1
5864,1,0.8035,L1,change,cue,23,exp1
5863,1,0.7893,L1,no-change,cue,23,exp1
5859,1,0.7001,L1,no-change,cue,23,exp1
5858,1,0.7512,L1,change,cue,23,exp1
5851,1,0.856,L1,change,nocue,23,exp1
5850,1,0.7232,L1,change,nocue,23,exp1
5849,1,1.0702,L1,change,nocue,23,exp1
5843,1,0.8003,L1,no-change,cue,23,exp1
5842,1,1.086,L1,change,cue,23,exp1
5841,1,0.7185,L1,no-change,cue,23,exp1
5838,1,0.8011,L1,no-change,nocue,23,exp1
5826,1,0.7731,L1,no-change,nocue,23,exp1
5823,1,0.9186,L1,change,cue,23,exp1
5818,1,0.9399,L1,no-change,nocue,23,exp1
5815,1,0.8704,L1,change,nocue,23,exp1
5869,1,0.9845,L1,change,nocue,23,exp1
5874,1,0.6335,L1,change,cue,23,exp1
5884,1,0.8001,L1,no-change,nocue,23,exp1
5885,1,0.7868,L1,no-change,nocue,23,exp1
5948,1,0.7365,L1,no-change,nocue,24,exp1
5947,1,0.5348,L1,no-change,nocue,24,exp1
5944,1,0.7186,L1,change,nocue,24,exp1
5941,1,0.7102,L1,no-change,cue,24,exp1
5940,1,1.1604,L1,change,nocue,24,exp1
5932,1,0.5849,L1,no-change,cue,24,exp1
5926,1,0.6565,L1,no-change,nocue,24,exp1
5809,1,1.339,L1,change,cue,23,exp1
5924,1,0.723,L1,no-change,cue,24,exp1
5913,1,0.6043,L1,no-change,nocue,24,exp1
5905,1,0.8896,L1,no-change,cue,24,exp1
5902,1,0.5716,L1,change,nocue,24,exp1
5901,0,1.2779,L1,change,nocue,24,exp1
5897,1,2.0626,L1,change,cue,24,exp1
5891,1,0.7943,L1,change,cue,24,exp1
5889,1,1.5563,L1,change,cue,24,exp1
5917,1,3.6813,L1,change,cue,24,exp1
5961,1,0.5076,L1,no-change,nocue,24,exp1
5807,1,0.9012,L1,no-change,nocue,23,exp1
5798,1,0.834,L1,no-change,cue,23,exp1
5710,1,0.8698,L1,no-change,nocue,23,exp1
5706,1,0.914,L1,change,nocue,23,exp1
5703,1,1.0469,L1,change,cue,23,exp1
5699,1,2.0206,L1,no-change,cue,23,exp1
5697,1,1.3336,L1,no-change,nocue,23,exp1
5695,1,1.0553,L1,no-change,cue,23,exp1
5691,1,1.1025,L1,change,cue,23,exp1
5689,1,1.0569,L1,change,nocue,23,exp1
5684,0,1.1632,L1,change,nocue,23,exp1
5678,1,0.7454,L1,no-change,nocue,23,exp1
5671,1,0.6345,L1,change,nocue,23,exp1
5669,1,0.5296,L1,change,cue,23,exp1
5665,1,0.6479,L1,no-change,cue,23,exp1
5664,1,0.622,L1,change,cue,23,exp1
5655,1,0.6319,L1,no-change,nocue,23,exp1
5712,1,0.7825,L1,no-change,cue,23,exp1
5713,1,0.7989,L1,no-change,nocue,23,exp1
5723,1,0.8001,L1,no-change,nocue,23,exp1
5729,1,0.8298,L1,change,nocue,23,exp1
5793,1,1.0687,L1,no-change,cue,23,exp1
5792,1,0.8672,L1,no-change,cue,23,exp1
5788,1,0.9183,L1,no-change,cue,23,exp1
5785,1,0.9347,L1,no-change,nocue,23,exp1
5777,1,1.0535,L1,no-change,nocue,23,exp1
5773,1,0.8177,L1,change,nocue,23,exp1
5772,1,0.8858,L1,change,cue,23,exp1
5802,1,1.0852,L1,change,nocue,23,exp1
5766,1,1.0074,L1,change,cue,23,exp1
5759,1,0.8683,L1,no-change,cue,23,exp1
5758,1,0.906,L1,change,cue,23,exp1
5748,1,0.8013,L1,change,cue,23,exp1
5745,1,0.8299,L1,change,nocue,23,exp1
5738,1,1.1027,L1,change,nocue,23,exp1
5735,1,0.9789,L1,no-change,cue,23,exp1
5733,1,1.2127,L1,change,cue,23,exp1
5763,1,0.9374,L1,change,nocue,23,exp1
5654,1,0.7802,L1,no-change,cue,23,exp1
5962,1,0.6174,L1,change,cue,24,exp1
5968,1,0.584,L1,no-change,cue,24,exp1
6190,1,0.3989,L1,no-change,nocue,25,exp1
6185,1,0.4309,L1,change,cue,25,exp1
6184,1,0.4843,L1,change,cue,25,exp1
6182,1,1.6867,L1,change,nocue,25,exp1
6181,1,0.4581,L1,change,cue,25,exp1
6177,1,0.4265,L1,change,nocue,25,exp1
6172,1,0.3239,L1,no-change,nocue,25,exp1
6167,1,0.4089,L1,no-change,cue,25,exp1
6152,1,0.2945,L1,no-change,cue,25,exp1
6145,1,0.376,L1,no-change,cue,25,exp1
6139,1,0.7153,L1,no-change,nocue,24,exp1
6137,0,0.8775,L1,no-change,nocue,24,exp1
6128,1,0.4172,L1,change,nocue,24,exp1
6124,1,0.743,L1,change,cue,24,exp1
6123,1,0.4519,L1,change,nocue,24,exp1
6191,1,0.3146,L1,no-change,nocue,25,exp1
6192,1,0.2417,L1,no-change,nocue,25,exp1
6196,1,0.3833,L1,no-change,cue,25,exp1
6198,1,0.4159,L1,change,nocue,25,exp1
6260,1,0.28,L1,no-change,cue,25,exp1
6258,1,0.4637,L1,change,nocue,25,exp1
6250,1,0.3018,L1,no-change,nocue,25,exp1
6248,1,0.2717,L1,no-change,nocue,25,exp1
6246,1,0.3531,L1,no-change,nocue,25,exp1
6241,1,0.4515,L1,change,cue,25,exp1
6240,1,0.3051,L1,no-change,cue,25,exp1
6119,0,0.7853,L1,change,cue,24,exp1
6237,1,0.5847,L1,change,cue,25,exp1
6224,1,0.3625,L1,change,nocue,25,exp1
6221,1,0.5043,L1,no-change,nocue,25,exp1
6218,1,0.5383,L1,change,nocue,25,exp1
6217,1,0.4072,L1,change,nocue,25,exp1
6215,1,0.5778,L1,change,cue,25,exp1
6202,1,0.3204,L1,change,cue,25,exp1
6200,1,0.3762,L1,change,nocue,25,exp1
6231,1,0.4615,L1,no-change,cue,25,exp1
5966,1,0.7356,L1,change,nocue,24,exp1
6110,1,0.4939,L1,change,cue,24,exp1
6107,1,0.4387,L1,no-change,cue,24,exp1
6029,1,0.9657,L1,no-change,cue,24,exp1
6022,1,0.6456,L1,change,cue,24,exp1
6021,1,0.6318,L1,change,nocue,24,exp1
6013,1,0.7932,L1,change,cue,24,exp1
6008,1,0.4464,L1,no-change,cue,24,exp1
6007,1,0.4658,L1,no-change,cue,24,exp1
5997,1,0.6464,L1,no-change,nocue,24,exp1
5994,1,0.892,L1,no-change,nocue,24,exp1
5992,1,0.598,L1,no-change,cue,24,exp1
5989,1,1.3542,L1,change,nocue,24,exp1
5988,0,0.7182,L1,change,nocue,24,exp1
5987,1,0.8211,L1,change,cue,24,exp1
5985,1,0.9929,L1,change,nocue,24,exp1
5977,1,1.2086,L1,change,cue,24,exp1
5976,1,0.5222,L1,no-change,nocue,24,exp1
6034,1,0.5017,L1,no-change,nocue,24,exp1
6035,1,0.3474,L1,no-change,cue,24,exp1
6036,1,0.4658,L1,no-change,nocue,24,exp1
6038,1,1.0097,L1,change,cue,24,exp1
6104,1,0.5999,L1,change,cue,24,exp1
6097,1,0.4824,L1,no-change,cue,24,exp1
6091,1,0.6115,L1,change,nocue,24,exp1
6087,1,0.4786,L1,change,nocue,24,exp1
6086,1,0.4615,L1,no-change,nocue,24,exp1
6084,1,0.3769,L1,no-change,cue,24,exp1
6083,1,0.8632,L1,no-change,cue,24,exp1
6109,1,0.6104,L1,no-change,nocue,24,exp1
6079,1,0.4251,L1,no-change,cue,24,exp1
6072,1,1.0142,L1,no-change,nocue,24,exp1
6070,1,0.4531,L1,change,nocue,24,exp1
6069,0,1.1696,L1,change,nocue,24,exp1
6061,1,0.8157,L1,change,cue,24,exp1
6060,1,0.6262,L1,change,nocue,24,exp1
6059,1,0.5636,L1,change,cue,24,exp1
6042,1,0.4179,L1,no-change,nocue,24,exp1
6074,1,0.5776,L1,no-change,cue,24,exp1
5652,1,0.7512,L1,no-change,nocue,23,exp1
5650,1,0.8187,L1,change,nocue,23,exp1
5640,1,0.5055,L1,change,cue,23,exp1
5239,1,0.8568,L1,no-change,nocue,21,exp1
5234,1,0.7711,L1,change,nocue,21,exp1
5231,1,0.7172,L1,no-change,nocue,21,exp1
5227,1,0.4876,L1,change,cue,21,exp1
5215,1,0.8209,L1,no-change,nocue,21,exp1
5213,1,0.6945,L1,no-change,cue,21,exp1
5208,1,0.5564,L1,change,nocue,21,exp1
5207,1,0.8674,L1,change,nocue,21,exp1
5204,1,0.6872,L1,no-change,nocue,21,exp1
5193,1,0.6996,L1,change,cue,21,exp1
5191,1,0.6198,L1,change,nocue,21,exp1
5190,1,0.5499,L1,change,cue,21,exp1
5188,1,0.7231,L1,change,cue,21,exp1
5186,1,0.6705,L1,no-change,cue,21,exp1
5185,1,0.7195,L1,no-change,cue,21,exp1
5240,1,0.8739,L1,no-change,cue,21,exp1
5249,1,0.4878,L1,no-change,nocue,21,exp1
5252,1,0.7155,L1,no-change,nocue,21,exp1
5253,1,0.6098,L1,no-change,cue,21,exp1
5314,1,0.5667,L1,change,nocue,21,exp1
5313,1,0.5995,L1,no-change,cue,21,exp1
5312,1,0.7876,L1,no-change,nocue,21,exp1
5310,1,0.7199,L1,change,nocue,21,exp1
5306,1,0.7629,L1,no-change,nocue,21,exp1
5304,1,0.8945,L1,change,cue,21,exp1
5297,1,0.7269,L1,no-change,cue,21,exp1
5179,1,1.8271,L1,no-change,cue,21,exp1
5288,1,0.438,L1,no-change,nocue,21,exp1
5280,1,0.6359,L1,no-change,cue,21,exp1
5278,1,0.6054,L1,no-change,cue,21,exp1
5274,1,0.4914,L1,change,cue,21,exp1
5273,1,0.766,L1,change,cue,21,exp1
5269,1,0.5828,L1,change,nocue,21,exp1
5268,1,0.6942,L1,change,nocue,21,exp1
5263,1,0.7233,L1,change,cue,21,exp1
5281,1,0.7019,L1,change,nocue,21,exp1
5317,1,0.4014,L1,no-change,nocue,21,exp1
